Year,Type,Country,Activity,Sex,Age,Fatal,Species,Age_missing
2022,Unprovoked,BAHAMAS,diving,M,24.0,0,unknown,1
2022,Provoked,USA,fishing,M,24.0,0,unknown,1
2022,Unprovoked,USA,snorkeling,M,51.0,0,tiger,0
2022,Unprovoked,AUSTRALIA,Other,M,19.0,0,unknown,0
2022,Provoked,USA,fishing,M,15.0,0,nurse,0
2022,Unprovoked,USA,Other,M,40.0,0,unknown,0
2022,Unprovoked,AUSTRALIA,spearfishing,M,38.0,0,bull,0
2022,Unprovoked,AUSTRALIA,surfing,M,17.0,0,unknown,0
2022,Unprovoked,USA,surfing,M,31.0,0,great white,0
2022,Unprovoked,SOUTH AFRICA,swimming,F,39.0,1,great white,0
2022,Unprovoked,USA,spearfishing,M,26.0,0,bull,0
2022,Unprovoked,BAHAMAS,snorkeling,F,58.0,1,bull,0
2022,Unprovoked,USA,swimming,F,51.0,0,unknown,0
2022,Unprovoked,AUSTRALIA,surfing,M,14.0,0,bronze whaler,0
2022,Unprovoked,AUSTRALIA,Other,M,24.0,0,great white,1
2022,Unprovoked,USA,swimming,F,24.0,0,unknown,1
2022,Unprovoked,USA,standing,F,24.0,0,blacktip,1
2022,Unprovoked,AUSTRALIA,spearfishing,M,17.0,0,great white,0
2022,Unprovoked,USA,snorkeling,M,10.0,0,bull,0
2022,Unprovoked,USA,Other,M,24.0,0,unknown,1
2022,Unprovoked,OTHER,snorkeling,F,24.0,0,blue,1
2022,Unprovoked,USA,Other,M,13.0,0,nurse,0
2022,Unprovoked,USA,wading,M,33.0,0,blacktip,0
2022,Unprovoked,USA,surfing,M,16.0,0,unknown,0
2022,Unknown,USA,unknown,UNKNOWN,24.0,0,unknown,1
2022,Unprovoked,USA,surfing,F,24.0,0,unknown,1
2022,Provoked,USA,fishing,M,24.0,0,lemon,1
2022,Unprovoked,USA,unknown,F,40.0,0,unknown,0
2022,Unprovoked,USA,unknown,M,49.0,0,unknown,0
2022,Unprovoked,USA,surfing,M,41.0,0,tiger,0
2022,Unprovoked,USA,surfing,M,24.0,0,unknown,1
2022,Unprovoked,USA,Other,M,17.0,0,unknown,0
2022,Unprovoked,OTHER,snorkeling,M,60.0,1,unknown,0
2022,Unprovoked,USA,surfing,M,28.0,0,unknown,0
2022,Unprovoked,USA,Other,M,24.0,0,unknown,1
2022,Unprovoked,OTHER,surfing,F,24.0,0,unknown,1
2022,Unprovoked,EGYPT,snorkeling,F,24.0,1,tiger,1
2022,Unprovoked,EGYPT,swimming,F,68.0,1,tiger,0
2022,Unprovoked,USA,swimming,M,24.0,0,unknown,1
2022,Unprovoked,USA,Other,F,17.0,0,unknown,0
2022,Unprovoked,USA,swimming,F,35.0,0,unknown,0
2022,Unprovoked,USA,Other,M,24.0,0,unknown,1
2022,Unprovoked,SOUTH AFRICA,swimming,M,24.0,1,unknown,1
2022,Unprovoked,OTHER,fishing,M,24.0,0,tiger,1
2022,Unprovoked,USA,unknown,F,24.0,0,unknown,1
2022,Unprovoked,USA,swimming,M,62.0,0,great white,0
2022,Unprovoked,USA,unknown,M,24.0,0,unknown,1
2022,Unprovoked,AUSTRALIA,swimming,F,24.0,0,unknown,1
2022,Unprovoked,AUSTRALIA,surfing,UNKNOWN,24.0,0,bronze whaler,1
2022,Unprovoked,AUSTRALIA,diving,M,20.0,0,bull,0
2022,Provoked,OTHER,spearfishing,M,24.0,0,unknown,1
2022,Unprovoked,OTHER,fishing,M,62.0,0,unknown,0
2022,Unprovoked,OTHER,unknown,UNKNOWN,24.0,0,unknown,1
2022,Provoked,USA,fishing,M,24.0,0,blacktip,1
2022,Unprovoked,OTHER,Other,M,8.0,0,unknown,0
2022,Unprovoked,OTHER,unknown,M,22.0,0,tiger,0
2022,Unprovoked,AUSTRALIA,Other,M,32.0,0,unknown,0
2022,Unprovoked,USA,unknown,M,56.0,0,unknown,0
2022,Unprovoked,USA,swimming,M,17.0,0,unknown,0
2022,Unprovoked,USA,standing,M,24.0,0,unknown,1
2022,Provoked,USA,Other,F,12.0,0,other,0
2022,Unprovoked,USA,Other,M,24.0,0,unknown,1
2022,Unknown,SOUTH AFRICA,unknown,M,24.0,1,unknown,1
2022,Provoked,USA,fishing,M,24.0,0,unknown,1
2022,Unprovoked,OTHER,swimming,M,56.0,1,tiger,0
2022,Unprovoked,NEW ZEALAND,surfing,M,24.0,0,unknown,1
2022,Unprovoked,AUSTRALIA,surfing,M,32.0,0,bull,0
2022,Unprovoked,AUSTRALIA,swimming,M,24.0,0,unknown,1
2022,Unprovoked,USA,surfing,M,20.0,0,unknown,0
2022,Provoked,USA,fishing,M,21.0,0,blacktip,0
2022,Unprovoked,AUSTRALIA,surfing,M,24.0,0,unknown,1
2022,Unprovoked,USA,body boarding,M,42.0,1,great white,0
2022,Unknown,BAHAMAS,diving,M,51.0,0,unknown,0
2022,Unprovoked,AUSTRALIA,Other,M,24.0,0,tiger,1
2022,Unprovoked,AUSTRALIA,swimming,M,36.0,1,unknown,0
2022,Unprovoked,MEXICO,Other,M,56.0,1,unknown,0
2022,Unprovoked,USA,surfing,M,18.0,0,unknown,0
2022,Provoked,BAHAMAS,unknown,F,37.0,0,nurse,0
2022,Unprovoked,AUSTRALIA,Other,F,20.0,0,great white,0
2022,Unprovoked,AUSTRALIA,swimming,M,24.0,0,wobbegong,1
2022,Unprovoked,AUSTRALIA,snorkeling,M,24.0,0,wobbegong,1
2022,Provoked,SOUTH AFRICA,fishing,M,24.0,0,unknown,1
2022,Unprovoked,NEW ZEALAND,swimming,F,13.0,0,unknown,0
2022,Unprovoked,USA,surfing,F,42.0,0,blacktip,0
2022,Unprovoked,AUSTRALIA,unknown,F,42.0,0,unknown,0
2022,Unprovoked,AUSTRALIA,surfing,M,24.0,0,unknown,1
2021,Unprovoked,NEW ZEALAND,swimming,F,9.0,0,unknown,0
2021,Unprovoked,USA,body boarding,M,31.0,1,great white,0
2021,Unprovoked,USA,surfing,F,42.0,0,blacktip,0
2021,Unprovoked,AUSTRALIA,spearfishing,M,24.0,0,bull,0
2021,Unprovoked,MEXICO,diving,M,14.0,0,unknown,0
2021,Unprovoked,AUSTRALIA,swimming,F,15.0,0,unknown,0
2021,Unprovoked,AUSTRALIA,swimming,M,15.0,0,unknown,0
2021,Unprovoked,USA,surfing,M,24.0,0,blacktip reef,1
2021,Unprovoked,USA,spearfishing,F,27.0,0,unknown,0
2021,Unprovoked,AUSTRALIA,swimming,M,57.0,1,unknown,0
2021,Unprovoked,BRAZIL,swimming,M,24.0,0,unknown,1
2021,Unprovoked,NEW ZEALAND,surfing,M,26.0,0,unknown,0
2021,Unprovoked,AUSTRALIA,swimming,M,34.0,0,unknown,0
2021,Unprovoked,USA,surfing,M,25.0,0,unknown,0
2021,Unprovoked,USA,swimming,M,24.0,0,unknown,1
2021,Unprovoked,USA,surfing,M,38.0,0,unknown,0
2021,Unprovoked,USA,surfing,M,24.0,0,unknown,1
2021,Unprovoked,AUSTRALIA,surfing,M,31.0,1,great white,0
2021,Unprovoked,OTHER,unknown,M,24.0,0,unknown,1
2021,Unprovoked,USA,fishing,M,64.0,0,unknown,0
2021,Unprovoked,USA,body boarding,M,24.0,0,unknown,1
2021,Unprovoked,USA,surfing,M,41.0,0,bull,0
2021,Unprovoked,OTHER,swimming,F,21.0,0,unknown,0
2021,Provoked,AUSTRALIA,Other,M,24.0,0,unknown,1
2021,Unprovoked,USA,surfing,M,35.0,0,unknown,0
2021,Unprovoked,USA,snorkeling,M,15.0,0,unknown,0
2021,Unprovoked,USA,unknown,M,24.0,0,blacktip,1
2021,Unprovoked,USA,swimming,F,12.0,0,blacktip,0
2021,Provoked,USA,fishing,M,47.0,0,unknown,0
2021,Unprovoked,USA,standing,M,15.0,0,unknown,0
2021,Unprovoked,USA,surfing,M,58.0,0,blacktip,0
2021,Provoked,AUSTRALIA,fishing,M,34.0,0,lemon,0
2021,Unprovoked,USA,swimming,M,24.0,0,unknown,1
2021,Unprovoked,BRAZIL,Other,M,32.0,0,unknown,0
2021,Provoked,OTHER,Other,M,55.0,0,bull,0
2021,Unprovoked,USA,surfing,F,24.0,0,unknown,1
2021,Unknown,USA,unknown,F,35.0,0,unknown,0
2021,Unprovoked,AUSTRALIA,surfing,M,24.0,0,great white,1
2021,Unprovoked,USA,body boarding,M,11.0,0,unknown,0
